act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,"1997
",,"CNSA_1997_SEC_1997
","Section 1997
",CONTENTS,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,1,,CNSA_1997_SEC_1,Section 1,Short title and commencement.,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,2,,CNSA_1997_SEC_2,Section 2,Definitions.,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,3,,CNSA_1997_SEC_3,Section 3,Calculation of percentages in liquid preparations.,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,4,,CNSA_1997_SEC_4,Section 4,Prohibition of cultivation of narcotic plants.,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,5,,CNSA_1997_SEC_5,Section 5,Punishment for contravention of section 4.,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,6,,CNSA_1997_SEC_6,Section 6,"Prohibition of possession of narcotic drugs, etc.","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,7,,CNSA_1997_SEC_7,Section 7,"Prohibition of import or export of narcotic drugs, etc.","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,8,,CNSA_1997_SEC_8,Section 8,Prohibition on trafficking or financing the trafficking of narcotic drugs etc.,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
CNSA_1997,"Control of Narcotic Substances Act, 1997",section,9,,CNSA_1997_SEC_9,Section 9,"Punishment for contravention of sections 6, 7 and 8.","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXV of 1997; https://pakistancode.gov.pk/pdffiles/administrator739c7aa745c5afab5decf2e100caf1c5.pdf",2026-09-23
