act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
CRPC_1898,"Code of Criminal Procedure, 1898",section,1,,CRPC_1898_SEC_1,Section 1,Short title,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,2,,CRPC_1898_SEC_2,Section 2,[Repealed],"{""federal"": ""repealed"", ""punjab"": ""repealed"", ""sindh"": ""repealed"", ""kp"": ""repealed"", ""balochistan"": ""repealed""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,3,,CRPC_1898_SEC_3,Section 3,References to Code of Criminal Procedure and other repealed enactments,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,4,,CRPC_1898_SEC_4,Section 4,Definitions,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,5,,CRPC_1898_SEC_5,Section 5,Trial of offences under Penal Code,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,6,,CRPC_1898_SEC_6,Section 6,Classes of Criminal Courts and Magistrates,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,7,,CRPC_1898_SEC_7,Section 7,Sessions divisions and districts,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,8,,CRPC_1898_SEC_8,Section 8,Power to divide districts into sub-divisions,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,9,,CRPC_1898_SEC_9,Section 9,Court of Session,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,10,,CRPC_1898_SEC_10,Section 10,[Omitted],"{""federal"": ""omitted"", ""punjab"": ""omitted"", ""sindh"": ""omitted"", ""kp"": ""omitted"", ""balochistan"": ""omitted""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,11,,CRPC_1898_SEC_11,Section 11,[Omitted],"{""federal"": ""omitted"", ""punjab"": ""omitted"", ""sindh"": ""omitted"", ""kp"": ""omitted"", ""balochistan"": ""omitted""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,12,,CRPC_1898_SEC_12,Section 12,Sub-ordinate Magistrates,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,13,,CRPC_1898_SEC_13,Section 13,[Omitted],"{""federal"": ""omitted"", ""punjab"": ""omitted"", ""sindh"": ""omitted"", ""kp"": ""omitted"", ""balochistan"": ""omitted""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,14,,CRPC_1898_SEC_14,Section 14,Special Judicial Magistrates,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,14A,,CRPC_1898_SEC_14A,Section 14A,Appointment of Special Magistrate,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,15,,CRPC_1898_SEC_15,Section 15,Benches of Magistrates.,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
CRPC_1898,"Code of Criminal Procedure, 1898",section,16,,CRPC_1898_SEC_16,Section 16,Power to frame rules for guidance of Magistrates and Benches,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1898; https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf",2026-09-23
