act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,1,,FAMILY_COURTS_1964_SEC_1,Section 1,"Short title, extent and commencement","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,2,,FAMILY_COURTS_1964_SEC_2,Section 2,Definitions,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,3,,FAMILY_COURTS_1964_SEC_3,Section 3,Establishment of Family Courts,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,4,,FAMILY_COURTS_1964_SEC_4,Section 4,Qualifications of Judges,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,5,,FAMILY_COURTS_1964_SEC_5,Section 5,Jurisdiction of Family Courts over matters specified in Schedule,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,6,,FAMILY_COURTS_1964_SEC_6,Section 6,Place of sitting,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,7,,FAMILY_COURTS_1964_SEC_7,Section 7,Institution of suits by presentation of plaint,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,8,,FAMILY_COURTS_1964_SEC_8,Section 8,Intimation to defendant,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,9,,FAMILY_COURTS_1964_SEC_9,Section 9,Written statement,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,10,,FAMILY_COURTS_1964_SEC_10,Section 10,Pre-trial proceedings and reconciliation attempts,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,11,,FAMILY_COURTS_1964_SEC_11,Section 11,Recording of evidence,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,12,,FAMILY_COURTS_1964_SEC_12,Section 12,Conclusion of trial,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,12A,,FAMILY_COURTS_1964_SEC_12A,Section 12A,Cases to be disposed of expeditiously within six months,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,13,,FAMILY_COURTS_1964_SEC_13,Section 13,Enforcement of decrees and execution,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,14,,FAMILY_COURTS_1964_SEC_14,Section 14,Appeals against decisions and decrees of Family Court,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,15,,FAMILY_COURTS_1964_SEC_15,Section 15,Power of Family Court to summon witnesses,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,16,,FAMILY_COURTS_1964_SEC_16,Section 16,Contempt of Family Court,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,17,,FAMILY_COURTS_1964_SEC_17,Section 17,Provisions of Evidence Act and Code of Civil Procedure not to apply,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,17A,,FAMILY_COURTS_1964_SEC_17A,Section 17A,Interim order for maintenance,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,17B,,FAMILY_COURTS_1964_SEC_17B,Section 17B,Power to make interim orders,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,18,,FAMILY_COURTS_1964_SEC_18,Section 18,Appearance by agent or pleader,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,19,,FAMILY_COURTS_1964_SEC_19,Section 19,Court-fees,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,20,,FAMILY_COURTS_1964_SEC_20,Section 20,Family Court to exercise powers of Judicial Magistrate First Class,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,21,,FAMILY_COURTS_1964_SEC_21,Section 21,Provisions of Muslim Family Laws Ordinance 1961 to apply,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,21A,,FAMILY_COURTS_1964_SEC_21A,Section 21A,Interim maintenance allowance,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,21B,,FAMILY_COURTS_1964_SEC_21B,Section 21B,Stay of proceedings,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,22,,FAMILY_COURTS_1964_SEC_22,Section 22,Bar on issue of injunctions by Family Court,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,23,,FAMILY_COURTS_1964_SEC_23,Section 23,"Validity of marriage registered under Muslim Family Laws Ordinance, 1961, not to be questioned","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,24,,FAMILY_COURTS_1964_SEC_24,Section 24,Family Courts to inform Union Councils of cases of dissolution of marriage,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,25,,FAMILY_COURTS_1964_SEC_25,Section 25,"Family Court deemed to be a District Court for purposes of Guardians and Wards Act, 1890","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,25A,,FAMILY_COURTS_1964_SEC_25A,Section 25A,Transfer of cases,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,25B,,FAMILY_COURTS_1964_SEC_25B,Section 25B,Stay of proceedings by High Court and District Court,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
FAMILY_COURTS_1964,"Family Courts Act, 1964",section,26,,FAMILY_COURTS_1964_SEC_26,Section 26,Power to make rules,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. XXXV of 1964; https://pakistancode.gov.pk/pdffiles/administratorf08eaec19066a65a1b82cb4ad49feb4d.pdf",2026-09-23
