act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
LIMITATION_1908,"Limitation Act, 1908",section,1,,LIMITATION_1908_SEC_1,Section 1,"Short title, extent and commencement","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,2,,LIMITATION_1908_SEC_2,Section 2,Definitions,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,3,,LIMITATION_1908_SEC_3,Section 3,"Dismissal of suits, etc., instituted, etc., after period of limitation","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,4,,LIMITATION_1908_SEC_4,Section 4,Where Court is closed when period expires,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,5,,LIMITATION_1908_SEC_5,Section 5,Extension of period in certain cases,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,6,,LIMITATION_1908_SEC_6,Section 6,Legal disability,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,7,,LIMITATION_1908_SEC_7,Section 7,Disability of one of several plaintiffs or applicants,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,8,,LIMITATION_1908_SEC_8,Section 8,Special exceptions,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,9,,LIMITATION_1908_SEC_9,Section 9,Continuous running of time,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
LIMITATION_1908,"Limitation Act, 1908",section,10,,LIMITATION_1908_SEC_10,Section 10,Suits against express trustees and their representatives,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. IX of 1908; https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf",2026-09-23
