act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,1,,MFLO_1961_SEC_1,Section 1,"Short title, extent, application and commencement","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,2,,MFLO_1961_SEC_2,Section 2,Definitions,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,3,,MFLO_1961_SEC_3,Section 3,"Ordinance to override other laws, etc.","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,4,,MFLO_1961_SEC_4,Section 4,Succession of grandchildren in case of death of any son or daughter of the propositus,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,5,,MFLO_1961_SEC_5,Section 5,Registration of marriages and Nikah Registrars,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,6,,MFLO_1961_SEC_6,Section 6,Polygamy; permission of Arbitration Council required for subsequent marriage,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,7,,MFLO_1961_SEC_7,Section 7,Talaq; notice to Chairman of Union Council and ninety-day reconciliation period,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,8,,MFLO_1961_SEC_8,Section 8,Dissolution of marriage otherwise than by talaq (Talaq-i-Tafweez and Khula),"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,9,,MFLO_1961_SEC_9,Section 9,Maintenance of wife and children by husband; Arbitration Council certificate,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
MFLO_1961,"Muslim Family Laws Ordinance, 1961",section,10,,MFLO_1961_SEC_10,Section 10,Dower; payment of entire dower on demand where no mode is specified in nikahnama,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Ordinance No. VIII of 1961; https://pakistancode.gov.pk/pdffiles/administratoreecaf3b490e2d43d2e3b50c0c068b5d7.pdf",2026-09-23
