act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,1,,PREEMPTION_1991_SEC_1,Section 1,"Short title, extent and commencement","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,2,,PREEMPTION_1991_SEC_2,Section 2,"Definitions (immovable property, pre-emptor, right of pre-emption, sale, Shafi Sharik, Shafi Khalit, Shafi Jar)","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,3,,PREEMPTION_1991_SEC_3,Section 3,Interpretation in conformity with Injunctions of Islam,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,4,,PREEMPTION_1991_SEC_4,Section 4,Act to override other laws,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,5,,PREEMPTION_1991_SEC_5,Section 5,Right of pre-emption arising on sale of immovable property,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,6,,PREEMPTION_1991_SEC_6,Section 6,"Persons in whom right of pre-emption vests (Shafi Sharik, Shafi Khalit, Shafi Jar)","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,7,,PREEMPTION_1991_SEC_7,Section 7,Priorities in right of pre-emption,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,8,,PREEMPTION_1991_SEC_8,Section 8,Joint right of pre-emption how exercised,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,9,,PREEMPTION_1991_SEC_9,Section 9,Method of distribution of property where more than one person is equally entitled,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,10,,PREEMPTION_1991_SEC_10,Section 10,Withdrawal of claim by one of several pre-emptors,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,11,,PREEMPTION_1991_SEC_11,Section 11,Sale of appurtenances of land,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,12,,PREEMPTION_1991_SEC_12,Section 12,Right to revoke sale,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,13,,PREEMPTION_1991_SEC_13,Section 13,"Demand of pre-emption (Talb-i-Muwathibat immediate demand, Talb-i-Ishhad confirmatory notice within two weeks attested by two witnesses, and Talb-i-Khusumat institution of suit)","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,14,,PREEMPTION_1991_SEC_14,Section 14,Demand by guardian or agent,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,15,,PREEMPTION_1991_SEC_15,Section 15,Waiver of right of pre-emption by express consent or acquiescence,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,16,,PREEMPTION_1991_SEC_16,Section 16,Death of pre-emptor; transmission of right to legal heirs after making demands,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,17,,PREEMPTION_1991_SEC_17,Section 17,Abatement of right of pre-emption,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,18,,PREEMPTION_1991_SEC_18,Section 18,Exercise of right of pre-emption by a Muslim and a non-Muslim against each other,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,19,,PREEMPTION_1991_SEC_19,Section 19,Right of pre-emption non-transferable and indivisible,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,20,,PREEMPTION_1991_SEC_20,Section 20,Where pre-emptor and vendee are equally entitled,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,21,,PREEMPTION_1991_SEC_21,Section 21,Improvements made by the vendee on pre-empted property,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,22,,PREEMPTION_1991_SEC_22,Section 22,Improvement made in the status of vendee-defendant after institution of suit,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,23,,PREEMPTION_1991_SEC_23,Section 23,"No right of pre-emption in respect of certain properties (dower, waqf, public auction)","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,24,,PREEMPTION_1991_SEC_24,Section 24,Plaintiff to deposit sale price of property (one-third in cash and two-thirds bank guarantee/security within thirty days),"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
PREEMPTION_1991,"Punjab Pre-emption Act, 1991",section,25,,PREEMPTION_1991_SEC_25,Section 25,Deposit or refund of excess price,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act IX of 1991; punjablaws.gov.pk",2026-09-23
