act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
PRPA_2009,"Punjab Rented Premises Act, 2009",section,1,,PRPA_2009_SEC_1,Section 1,"Short title, extent and commencement","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,2,,PRPA_2009_SEC_2,Section 2,"Definitions (building, final order, landlord, pagri, premises, prescribed, rent, Rent Registrar, Rent Tribunal, sub-tenant, tenancy agreement, tenant)","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,3,,PRPA_2009_SEC_3,Section 3,"Exemption of premises owned by Federal Government, Provincial Government or local authority","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,4,,PRPA_2009_SEC_4,Section 4,Act to override other laws,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,5,,PRPA_2009_SEC_5,Section 5,Agreement between landlord and tenant in writing and registered with Rent Registrar,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,6,,PRPA_2009_SEC_6,Section 6,Contents of tenancy agreement,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,7,,PRPA_2009_SEC_7,Section 7,"Payment of rent by bank deposit, cheque or receipt","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,8,,PRPA_2009_SEC_8,Section 8,Existing tenancy without written agreement to be regularized within two years,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,9,,PRPA_2009_SEC_9,Section 9,Effect of non-compliance with registration; fine,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,10,,PRPA_2009_SEC_10,Section 10,Effect of other agreements,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,11,,PRPA_2009_SEC_11,Section 11,Subletting not allowed without written consent of landlord,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,12,,PRPA_2009_SEC_12,Section 12,"Obligations of landlord (maintenance, taxes, essential services)","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,13,,PRPA_2009_SEC_13,Section 13,"Obligations of tenant (timely payment of rent, reasonable care, surrender of possession)","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,14,,PRPA_2009_SEC_14,Section 14,Reimbursement of expenses incurred on repairs,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,15,,PRPA_2009_SEC_15,Section 15,"Grounds for eviction (expiry of tenancy, default in rent, subletting, breach of agreement, misuse, destruction)","{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,16,,PRPA_2009_SEC_16,Section 16,Establishment of Rent Tribunal,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,17,,PRPA_2009_SEC_17,Section 17,Rent Registrar; appointment and functions,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,18,,PRPA_2009_SEC_18,Section 18,Staff and establishment of Rent Tribunal,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,19,,PRPA_2009_SEC_19,Section 19,Filing of application for eviction or other relief,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,20,,PRPA_2009_SEC_20,Section 20,Application for deposit of rent,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,21,,PRPA_2009_SEC_21,Section 21,Appearance of parties and consequences of non-appearance,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,22,,PRPA_2009_SEC_22,Section 22,Leave to contest eviction application; affidavit showing reasonable grounds,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,23,,PRPA_2009_SEC_23,Section 23,Written reply upon grant of leave to contest,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
PRPA_2009,"Punjab Rented Premises Act, 2009",section,24,,PRPA_2009_SEC_24,Section 24,Payment of rent and other dues pending proceedings,"{""federal"": ""not_applicable"", ""punjab"": ""in_force"", ""sindh"": ""not_applicable"", ""kp"": ""not_applicable"", ""balochistan"": ""not_applicable""}",,"Punjab Gazette (Extraordinary), Punjab Act VII of 2009; punjablaws.gov.pk/laws/498.html",2026-09-23
