act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,1,,QSO_1984_ART_1,Article 1,"Short title, extent and commencement","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 1)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,2,,QSO_1984_ART_2,Article 2,Interpretation,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 3)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,3,,QSO_1984_ART_3,Article 3,Who may testify,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 118)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,4,,QSO_1984_ART_4,Article 4,Judges and Magistrates,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 121)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,5,,QSO_1984_ART_5,Article 5,Communications during marriage,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 122)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,6,,QSO_1984_ART_6,Article 6,Evidence as to affairs of State,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 123)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,7,,QSO_1984_ART_7,Article 7,Official communications,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 124)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,8,,QSO_1984_ART_8,Article 8,Information as to commission of offences,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 125)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,9,,QSO_1984_ART_9,Article 9,Professional communications,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 126)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,10,,QSO_1984_ART_10,Article 10,"Article 9 to apply to interpreters, etc.","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 127)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,11,,QSO_1984_ART_11,Article 11,Privilege not waived by volunteering evidence,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 128)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,12,,QSO_1984_ART_12,Article 12,Confidential communications with legal advisers,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 129)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
